time,generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual
2017-11-07 16:00:00+01:00,397.0,764.0,0.0,12121.0,5737.0,344.0,0.0,0.0,0.0,,76.0,769.0,907.0,0.0,5879.0,28.0,99.0,4981.0,283.0,0.0,2516.0,4956.0,,2474.0,34615.0,35438.0,52.15,64.45
2017-11-07 17:00:00+01:00,398.0,766.0,0.0,12130.0,5821.0,343.0,0.0,0.0,0.0,,76.0,760.0,794.0,0.0,5874.0,28.0,102.0,4680.0,284.0,0.0,2716.0,4595.0,,2665.0,34600.0,35493.0,52.71,66.19
2017-11-07 18:00:00+01:00,402.0,860.0,0.0,11932.0,5835.0,344.0,0.0,0.0,0.0,,76.0,745.0,736.0,0.0,5870.0,28.0,101.0,4171.0,290.0,0.0,2888.0,4042.0,,2836.0,34061.0,35072.0,52.2,70.21
2017-11-07 19:00:00+01:00,406.0,871.0,0.0,11909.0,5892.0,345.0,0.0,0.0,0.0,,76.0,750.0,802.0,0.0,5870.0,28.0,102.0,3429.0,284.0,0.0,2753.0,3130.0,,2903.0,33601.0,34797.0,51.3,71.73
2017-11-07 20:00:00+01:00,407.0,874.0,0.0,12179.0,5951.0,348.0,0.0,0.0,0.0,,17.0,806.0,1121.0,0.0,5875.0,25.0,102.0,2253.0,278.0,0.0,2448.0,2020.0,,2579.0,33138.0,34224.0,52.15,70.58
2017-11-07 21:00:00+01:00,409.0,876.0,0.0,11975.0,5949.0,351.0,0.0,0.0,0.0,,0.0,771.0,1902.0,0.0,5881.0,17.0,101.0,1072.0,289.0,0.0,2330.0,1077.0,,2374.0,32828.0,33918.0,54.67,67.61
2017-11-07 22:00:00+01:00,405.0,875.0,0.0,11462.0,5948.0,348.0,0.0,0.0,0.0,,0.0,760.0,2145.0,0.0,5884.0,18.0,100.0,735.0,292.0,0.0,2483.0,689.0,,2398.0,32374.0,33615.0,54.09,66.72
2017-11-07 23:00:00+01:00,401.0,835.0,0.0,10832.0,5916.0,349.0,0.0,0.0,0.0,,0.0,668.0,1020.0,0.0,5889.0,17.0,100.0,663.0,290.0,0.0,2794.0,628.0,,2642.0,30119.0,31404.0,52.0,63.21
2017-11-08 00:00:00+01:00,328.0,359.0,0.0,5154.0,2164.0,335.0,0.0,0.0,0.0,,1127.0,502.0,409.0,0.0,6908.0,51.0,96.0,634.0,322.0,0.0,8558.0,599.0,,8595.0,26423.0,26159.0,37.86,59.46
2017-11-08 01:00:00+01:00,316.0,367.0,0.0,4802.0,2166.0,317.0,0.0,0.0,0.0,,1393.0,490.0,382.0,0.0,6911.0,51.0,98.0,607.0,323.0,0.0,8446.0,564.0,,8454.0,24734.0,24693.0,35.0,55.61
2017-11-08 02:00:00+01:00,314.0,387.0,0.0,4794.0,2216.0,316.0,0.0,0.0,0.0,,1434.0,487.0,425.0,0.0,6913.0,50.0,94.0,588.0,321.0,0.0,7781.0,533.0,,8152.0,23643.0,23610.0,32.89,53.13
2017-11-08 03:00:00+01:00,314.0,376.0,0.0,4857.0,2140.0,314.0,0.0,0.0,0.0,,1374.0,475.0,432.0,0.0,6912.0,51.0,96.0,527.0,319.0,0.0,7233.0,508.0,,7305.0,23085.0,23163.0,32.5,52.74
2017-11-08 04:00:00+01:00,317.0,415.0,0.0,4744.0,2037.0,317.0,0.0,0.0,0.0,,1172.0,491.0,511.0,0.0,6909.0,50.0,94.0,439.0,316.0,0.0,6973.0,447.0,,6939.0,22897.0,22958.0,32.6,52.6
2017-11-08 05:00:00+01:00,302.0,416.0,0.0,4736.0,2010.0,317.0,0.0,0.0,0.0,,1004.0,493.0,476.0,0.0,6912.0,50.0,95.0,362.0,321.0,0.0,6505.0,361.0,,6635.0,23131.0,23207.0,33.19,54.1
2017-11-08 06:00:00+01:00,313.0,393.0,0.0,5314.0,2127.0,318.0,0.0,0.0,0.0,,836.0,472.0,504.0,0.0,6913.0,50.0,92.0,268.0,328.0,0.0,6099.0,271.0,,6220.0,24452.0,24485.0,37.86,59.63
2017-11-08 07:00:00+01:00,326.0,388.0,0.0,5753.0,2633.0,323.0,0.0,0.0,0.0,,464.0,468.0,606.0,0.0,6912.0,50.0,95.0,204.0,328.0,0.0,5983.0,293.0,,6001.0,25880.0,25798.0,39.57,64.61
2017-11-08 08:00:00+01:00,328.0,401.0,0.0,5903.0,2958.0,305.0,0.0,0.0,0.0,,102.0,480.0,829.0,0.0,6910.0,53.0,95.0,711.0,326.0,0.0,5652.0,895.0,,5749.0,27661.0,27376.0,43.26,66.43
2017-11-08 09:00:00+01:00,325.0,385.0,0.0,5934.0,3124.0,314.0,0.0,0.0,0.0,,0.0,525.0,1071.0,0.0,6908.0,59.0,96.0,2175.0,325.0,0.0,5654.0,2183.0,,5461.0,29471.0,28982.0,45.2,67.63
2017-11-08 10:00:00+01:00,334.0,377.0,0.0,5722.0,3155.0,311.0,0.0,0.0,0.0,,0.0,556.0,951.0,0.0,6909.0,58.0,97.0,3974.0,324.0,0.0,5496.0,3659.0,,5560.0,30490.0,30061.0,45.17,66.76
2017-11-08 11:00:00+01:00,335.0,385.0,0.0,5978.0,3143.0,312.0,0.0,0.0,0.0,,0.0,605.0,1214.0,0.0,6910.0,58.0,99.0,4647.0,325.0,0.0,4961.0,4502.0,,5200.0,31254.0,30650.0,46.21,66.29
2017-11-08 12:00:00+01:00,335.0,433.0,0.0,6014.0,3127.0,313.0,0.0,0.0,0.0,,0.0,626.0,1653.0,0.0,6903.0,59.0,98.0,5013.0,327.0,0.0,4630.0,5037.0,,4670.0,31879.0,31494.0,46.96,66.63
2017-11-08 13:00:00+01:00,339.0,429.0,0.0,6125.0,3126.0,315.0,0.0,0.0,0.0,,0.0,652.0,1850.0,0.0,6901.0,60.0,96.0,5220.0,326.0,0.0,4608.0,5283.0,,4493.0,32247.0,32013.0,47.5,66.47
2017-11-08 14:00:00+01:00,336.0,404.0,0.0,5792.0,3003.0,317.0,0.0,0.0,0.0,,0.0,655.0,1798.0,0.0,6897.0,61.0,98.0,5257.0,322.0,0.0,4711.0,5299.0,,4684.0,31600.0,31399.0,48.05,65.32
2017-11-08 15:00:00+01:00,340.0,408.0,0.0,5805.0,2922.0,327.0,0.0,0.0,0.0,,113.0,617.0,1342.0,0.0,6895.0,62.0,99.0,5231.0,318.0,0.0,4783.0,5162.0,,4811.0,30603.0,30474.0,47.8,63.13
2017-11-08 16:00:00+01:00,343.0,408.0,0.0,5760.0,2717.0,328.0,0.0,0.0,0.0,,333.0,594.0,1256.0,0.0,6892.0,62.0,97.0,5045.0,320.0,0.0,5111.0,4923.0,,5027.0,30351.0,30228.0,48.4,62.12
2017-11-08 17:00:00+01:00,342.0,401.0,0.0,5785.0,2761.0,329.0,0.0,0.0,0.0,,366.0,584.0,1123.0,0.0,6888.0,61.0,97.0,4689.0,322.0,0.0,5521.0,4519.0,,5488.0,30213.0,30221.0,48.89,64.1
2017-11-08 18:00:00+01:00,341.0,375.0,0.0,5880.0,2797.0,330.0,0.0,0.0,0.0,,366.0,578.0,1037.0,0.0,6889.0,61.0,99.0,4103.0,321.0,0.0,5882.0,3906.0,,5873.0,30023.0,30037.0,47.39,69.08
2017-11-08 19:00:00+01:00,341.0,398.0,0.0,5881.0,2827.0,329.0,0.0,0.0,0.0,,366.0,582.0,1137.0,0.0,6888.0,61.0,103.0,3254.0,321.0,0.0,6208.0,2980.0,,6224.0,29852.0,29911.0,47.25,70.32
2017-11-08 20:00:00+01:00,340.0,427.0,0.0,6006.0,2978.0,327.0,0.0,0.0,0.0,,260.0,576.0,1239.0,0.0,6888.0,59.0,101.0,1841.0,322.0,0.0,6439.0,1704.0,,6412.0,29746.0,29713.0,48.19,70.5
2017-11-08 21:00:00+01:00,344.0,425.0,0.0,6207.0,3166.0,331.0,0.0,0.0,0.0,,6.0,585.0,1831.0,0.0,6891.0,58.0,95.0,903.0,327.0,0.0,6563.0,878.0,,6552.0,30345.0,30562.0,48.89,69.59
2017-11-08 22:00:00+01:00,333.0,424.0,0.0,6055.0,3057.0,333.0,0.0,0.0,0.0,,0.0,580.0,1925.0,0.0,6893.0,50.0,94.0,683.0,325.0,0.0,6719.0,660.0,,6628.0,29501.0,29599.0,47.27,66.81
2017-11-08 23:00:00+01:00,326.0,392.0,0.0,5833.0,2565.0,329.0,0.0,0.0,0.0,,137.0,545.0,942.0,0.0,6897.0,51.0,98.0,669.0,322.0,0.0,6698.0,625.0,,6709.0,27683.0,27678.0,45.4,64.74
2017-11-09 00:00:00+01:00,393.0,0.0,0.0,4038.0,1836.0,257.0,0.0,0.0,0.0,,257.0,482.0,1096.0,0.0,6859.0,54.0,90.0,675.0,330.0,0.0,6323.0,525.0,,6065.0,24003.0,23870.0,52.01,63.31
2017-11-09 01:00:00+01:00,395.0,0.0,0.0,4022.0,1491.0,258.0,0.0,0.0,0.0,,696.0,461.0,429.0,0.0,6864.0,53.0,91.0,664.0,332.0,0.0,7160.0,536.0,,6716.0,22737.0,22773.0,44.9,57.77
2017-11-09 02:00:00+01:00,388.0,0.0,0.0,4084.0,1515.0,255.0,0.0,0.0,0.0,,1102.0,428.0,446.0,0.0,6863.0,53.0,90.0,596.0,333.0,0.0,7103.0,495.0,,7313.0,22031.0,21989.0,36.85,55.69
