dt_iso,city_name,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2016-10-13 17:00:00+02:00,Valencia,289.268,289.268,289.268,972.0,93.0,0.0,247.0,0.3,0.0,0.0,92.0,500.0,rain,light rain,10d
2016-10-13 18:00:00+02:00,Valencia,289.268,289.268,289.268,972.0,93.0,0.0,247.0,0.3,0.0,0.0,92.0,500.0,rain,light rain,10d
2016-10-13 19:00:00+02:00,Valencia,287.26,287.26,287.26,973.0,94.0,2.0,294.0,0.3,0.0,0.0,92.0,500.0,rain,light rain,10d
2016-10-13 20:00:00+02:00,Valencia,287.26,287.26,287.26,973.0,94.0,2.0,294.0,0.3,0.0,0.0,92.0,500.0,rain,light rain,10n
2016-10-13 21:00:00+02:00,Valencia,287.26,287.26,287.26,973.0,94.0,2.0,294.0,0.3,0.0,0.0,92.0,500.0,rain,light rain,10n
2016-10-13 22:00:00+02:00,Valencia,286.434,286.434,286.434,974.0,91.0,2.0,279.0,0.3,0.0,0.0,68.0,500.0,rain,light rain,10n
2016-10-13 23:00:00+02:00,Valencia,286.434,286.434,286.434,974.0,91.0,2.0,279.0,0.3,0.0,0.0,68.0,500.0,rain,light rain,10n
2016-10-14 00:00:00+02:00,Valencia,286.434,286.434,286.434,974.0,91.0,2.0,279.0,0.3,0.0,0.0,68.0,500.0,rain,light rain,10n
2016-10-14 01:00:00+02:00,Valencia,285.395,285.395,285.395,974.0,89.0,3.0,276.0,0.0,0.0,0.0,36.0,802.0,clouds,scattered clouds,03n
2016-10-14 02:00:00+02:00,Valencia,285.395,285.395,285.395,974.0,89.0,3.0,276.0,0.0,0.0,0.0,36.0,802.0,clouds,scattered clouds,03n
2016-10-14 03:00:00+02:00,Valencia,285.395,285.395,285.395,974.0,89.0,3.0,276.0,0.0,0.0,0.0,36.0,802.0,clouds,scattered clouds,03n
2016-10-14 04:00:00+02:00,Valencia,285.008,285.008,285.008,974.0,88.0,5.0,277.0,0.0,0.0,0.0,12.0,801.0,clouds,few clouds,02n
2016-10-14 05:00:00+02:00,Valencia,285.008,285.008,285.008,974.0,88.0,5.0,277.0,0.0,0.0,0.0,12.0,801.0,clouds,few clouds,02n
2016-10-14 06:00:00+02:00,Valencia,285.008,285.008,285.008,974.0,88.0,5.0,277.0,0.0,0.0,0.0,12.0,801.0,clouds,few clouds,02n
2016-10-14 07:00:00+02:00,Valencia,285.298,285.298,285.298,974.0,85.0,4.0,283.0,0.0,0.0,0.0,0.0,800.0,clear,sky is clear,01n
2016-10-14 08:00:00+02:00,Valencia,285.298,285.298,285.298,974.0,85.0,4.0,283.0,0.0,0.0,0.0,0.0,800.0,clear,sky is clear,01d
2016-10-14 09:00:00+02:00,Valencia,285.298,285.298,285.298,974.0,85.0,4.0,283.0,0.0,0.0,0.0,0.0,800.0,clear,sky is clear,01d
2016-10-14 10:00:00+02:00,Valencia,290.233,290.233,290.233,975.0,71.0,4.0,284.0,0.0,0.0,0.0,0.0,800.0,clear,sky is clear,01d
2016-10-14 11:00:00+02:00,Valencia,290.233,290.233,290.233,975.0,71.0,4.0,284.0,0.0,0.0,0.0,0.0,800.0,clear,sky is clear,01d
2016-10-14 12:00:00+02:00,Valencia,290.233,290.233,290.233,975.0,71.0,4.0,284.0,0.0,0.0,0.0,0.0,800.0,clear,sky is clear,01d
